Id_Instal,Codi_Carrer,Tipus_Via,Nom_Carrer,Num_Carrer,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,Latitud,Longitud,Data_Instalacio,Data_DesInstalacio,Font
67,294874,Pg,Salvat Papasseit,32,03,la Barceloneta,01,Ciutat Vella,41.380962,2.191743,08/04/2013,05/06/2013,ACTIVITATS/INFRAESTRUCTURES ESPORTIVES
86,120807,Via,Favència,377,53,la Trinitat Nova,08,Nou Barris,41.447024,2.186277,10/04/2013,30/05/2013,TRÀNSIT
87,218606,Pg,Montjuïc,50,11,el Poble-sec,03,Sants-Montjuïc,41.371728,2.169036,08/04/2013,01/10/2013,NETEJA
106,37408,C,de Beethoven,9,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.393038,2.140707,23/05/2013,09/12/2013,OCI
107,348408,C,Tuset,17,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.396156,2.151563,23/05/2013,09/12/2013,OCI
146,16907,C,Anglí,46,23,Sarrià,05,Sarrià-Sant Gervasi,41.401879,2.124334,01/10/2013,11/11/2013,INFRAESTRUCTURES FERROVIÀRIES
147,44709,Pg,Bonanova,78,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,41.402274,2.125322,30/09/2013,11/11/2013,INFRAESTRUCTURES FERROVIÀRIES
166,44709,Pg,Bonanova,78,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,41.402397,2.12489,11/11/2013,30/01/2014,INFRAESTRUCTURES FERROVIÀRIES
167,44709,Pg,Bonanova,78,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,41.402397,2.12489,11/11/2013,09/12/2013,INFRAESTRUCTURES FERROVIÀRIES
186,348408,C,Tuset,8,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.39545,2.152752,29/01/2014,16/01/2015,OCI
187,348408,C,Tuset,17,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.396156,2.151563,29/01/2014,16/01/2015,OCI
206,112208,C,Escudellers,53,02,el Barri Gòtic,01,Ciutat Vella,41.380172,2.176917,05/02/2014,30/01/2015,OCI
207,86902,C,Nou de la Rambla,21,01,el Raval,01,Ciutat Vella,41.378273,2.173348,05/02/2014,30/01/2015,OCI
208,46409,Pg,Born,19,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.384925,2.182772,05/02/2014,30/01/2015,OCI
246,158901,Pl,Osca,2,18,Sants,03,Sants-Montjuïc,41.376198,2.138527,23/06/2014,27/01/2015,OCI
266,220200,C,Montserrat,4,01,el Raval,01,Ciutat Vella,41.377376,2.174657,05/02/2014,08/07/2014,OCI
267,179708,C,de Lincoln,10,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.400268,2.150366,23/01/2014,20/01/2015,OCI
268,21306,C,Arc del Teatre,5,01,el Raval,01,Ciutat Vella,41.378242,2.175111,23/04/2014,29/01/2015,OCI
286,220200,C,Montserrat,4,01,el Raval,01,Ciutat Vella,41.377376,2.174657,05/02/2014,29/01/2015,OCI
306,346800,Rbla,Poblenou,44,68,el Poblenou,10,Sant Martí,41.400018,2.202882,07/08/2014,27/10/2014,OCI
326,17706,C,Antoni de Capmany,41,18,Sants,03,Sants-Montjuïc,41.37221,2.132291,27/01/2015,19/05/2015,TRÀNSIT
346,348408,C,Tuset,8,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.39545,2.152752,29/01/2015,10/02/2016,OCI
347,348408,C,Tuset,17,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.396156,2.151563,29/01/2015,10/02/2016,OCI
366,284804,C,Robador,31,01,el Raval,01,Ciutat Vella,41.379396,2.170909,04/02/2015,06/10/2015,OCI
386,112208,C,Escudellers,53,02,el Barri Gòtic,01,Ciutat Vella,41.380172,2.176917,13/03/2015,14/03/2015,OCI
387,86902,C,Nou de la Rambla,21,01,el Raval,01,Ciutat Vella,41.378273,2.173348,13/03/2015,14/03/2015,OCI
388,46409,Pg,Born,19,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.384925,2.182772,13/03/2015,14/03/2015,OCI
389,220200,C,Montserrat,4,01,el Raval,01,Ciutat Vella,41.377376,2.174657,13/03/2015,26/10/2015,OCI
390,21306,C,Arc del Teatre,5,01,el Raval,01,Ciutat Vella,41.378242,2.175111,12/03/2015,10/11/2015,OCI
391,223606,C,Muntaner,488,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,41.402959,2.137834,13/03/2015,18/06/2015,TRÀNSIT
406,148307,Pg,Gràcia,124,31,la Vila de Gràcia,06,Gràcia,41.397771,2.158114,19/12/2014,17/06/2016,TRÀNSIT
426,158901,Pl,Osca,10,18,Sants,03,Sants-Montjuïc,41.376104,2.138506,04/06/2015,29/07/2015,OCI
428,281409,Ctra,Ribes,85,57,la Trinitat Vella,09,Sant Andreu,41.449997,2.189522,13/05/2015,09/09/2015,TRÀNSIT
