Estacio,nom_cabina,Id_Instal,Font,dist_m
4,Barcelona - Poblenou,3469,TRÀNSIT,378.7
4,Barcelona - Poblenou,2508,OCI,451.7
4,Barcelona - Poblenou,3067,TRÀNSIT,469.9
4,Barcelona - Poblenou,6646,OCI,494.6
42,Barcelona - Sants,726,TRÀNSIT,430.1
43,Barcelona - Eixample,3807,TRÀNSIT,148.8
43,Barcelona - Eixample,8346,ZONA DE VIANANTS,281.6
43,Barcelona - Eixample,9986,TRÀNSIT,299.3
43,Barcelona - Eixample,7226,TRÀNSIT,361.4
43,Barcelona - Eixample,6747,TRÀNSIT,414.7
44,Barcelona - Gràcia,1627,TRÀNSIT,210.6
44,Barcelona - Gràcia,9167,OCI,306.7
44,Barcelona - Gràcia,9808,OCI,306.7
44,Barcelona - Gràcia,20012,OCI,364.9
44,Barcelona - Gràcia,8488,OCI,364.9
44,Barcelona - Gràcia,7506,OCI,390.7
44,Barcelona - Gràcia,9686,OCI,417.2
44,Barcelona - Gràcia,20013,OCI,417.2
44,Barcelona - Gràcia,9767,OCI,425.7
44,Barcelona - Gràcia,20004,OCI,425.7
44,Barcelona - Gràcia,8487,OCI,441.5
44,Barcelona - Gràcia,20011,OCI,441.5
44,Barcelona - Gràcia,651,OCI,447.1
44,Barcelona - Gràcia,20010,OCI,476.7
44,Barcelona - Gràcia,9066,OCI,476.7
44,Barcelona - Gràcia,1192,TRÀNSIT,490.5
44,Barcelona - Gràcia,7768,OCI,491.0
50,Barcelona - Ciutadella,10346,OCI,391.2
50,Barcelona - Ciutadella,8989,OCI,396.1
50,Barcelona - Ciutadella,10368,OCI,420.3
