Estacio,nom_cabina,Clas_2,idTram,distance_m,Descripció,Nom_districte,Nom_barri,Contaminants
4,Barcelona - Poblenou,Fons,421,118.9,Bac de Roda (Pere IV a Ronda del Litoral),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,481,181.7,Pallars (Pere IV a Bac de Roda),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,315,253.6,Bac de Roda (Ronda Litoral a Pere IV),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,482,312.4,Pallars (Bac de Roda a Josep Pla),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,423,387.4,Diagonal (Pl. Glòries a Bac de Roda),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,425,397.2,Diagonal (Bac de Roda a Rambla de Prim),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,424,416.4,Diagonal (Bac de Roda a Pl. Glòries),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,286,421.4,Pere IV (Pallars a Bac de Roda),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,426,424.2,Diagonal (Rambla de Prim a Bac de Roda),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,287,425.1,Pere IV - Almogàvers (Bac de Roda a Badajoz),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
4,Barcelona - Poblenou,Fons,420,498.1,Bac de Roda (Gran Via a Pere IV),Sant Marti,el Poblenou,"NO, NO2, PM10, NOx"
42,Barcelona - Sants,Fons,129,230.6,Av. Madrid (Carles III a Numància),Sants-Montjuic,Sants,"NO, NO2, NOx"
42,Barcelona - Sants,Fons,51,293.9,Carles III (Carrer de Sants a Travessera de les Corts),Sants-Montjuic,Sants,"NO, NO2, NOx"
42,Barcelona - Sants,Fons,50,313.1,Carles III (Travessera de les Corts a Carrer de Sans),Sants-Montjuic,Sants,"NO, NO2, NOx"
