Id_Instal,distance_m,Nom_Carrer,Num_Carrer,Nom_Barri,Nom_Districte,Font,has_measurements,Latitud,Longitud,idTram,Descripció
655,0.1,Sant Joan,60.0,la Dreta de l'Eixample,Eixample,TRÀNSIT,False,41.396354,2.173763,197.0,Passeig de Sant Joan (Pl. Tetuan a Pl. Verdaguer)
1197,0.1,Sant Joan,60.0,la Dreta de l'Eixample,Eixample,TRÀNSIT,False,41.396354,2.173763,197.0,Passeig de Sant Joan (Pl. Tetuan a Pl. Verdaguer)
656,0.3,Sant Joan,82.0,la Dreta de l'Eixample,Eixample,TRÀNSIT,False,41.397398,2.172381,197.0,Passeig de Sant Joan (Pl. Tetuan a Pl. Verdaguer)
1196,0.3,Sant Joan,82.0,la Dreta de l'Eixample,Eixample,TRÀNSIT,True,41.397398,2.172381,197.0,Passeig de Sant Joan (Pl. Tetuan a Pl. Verdaguer)
7170,0.6,Gràcia,206.0,la Vila de Gràcia,Gràcia,TRÀNSIT,True,41.403224,2.160883,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
2051,0.6,Fabra i Puig,409.0,Horta,Horta-Guinardó,TRÀNSIT,False,41.434538,2.16368,441.0,P. Fabra i Puig (Tajo a P. Urrutia)
86,0.7,Favència,377.0,la Trinitat Nova,Nou Barris,TRÀNSIT,False,41.447024,2.186277,502.0,Ronda de Dalt (Nus de la Trinitat a Via Júlia)
671,0.7,Sant Joan,34.0,el Fort Pienc,Eixample,TRÀNSIT,False,41.393294,2.177816,199.0,Passeig de Sant Joan (Passeig Lluís Companys a Pl. Tetuan)
1169,0.7,Sant Joan,34.0,el Fort Pienc,Eixample,TRÀNSIT,False,41.393294,2.177816,199.0,Passeig de Sant Joan (Passeig Lluís Companys a Pl. Tetuan)
1189,0.7,Sant Joan,34.0,el Fort Pienc,Eixample,TRÀNSIT,True,41.393294,2.177816,199.0,Passeig de Sant Joan (Passeig Lluís Companys a Pl. Tetuan)
1468,0.7,Villarroel,170.0,l'Antiga Esquerra de l'Eixample,Eixample,SIRENES,False,41.389131,2.151662,242.0,Villarroel (Gran Via a Rda. Sant Antoni)
5187,0.7,Josep Pla,163.0,Provençals del Poblenou,Sant Martí,TRÀNSIT,True,41.415206,2.207164,357.0,Pere IV (Bac de Roda a Gran Via)
1770,0.7,Favència,377.0,la Trinitat Nova,Nou Barris,TRÀNSIT,False,41.447024,2.186277,502.0,Ronda de Dalt (Nus de la Trinitat a Via Júlia)
1511,0.7,Villarroel,170.0,l'Antiga Esquerra de l'Eixample,Eixample,SIRENES,False,41.389131,2.151662,242.0,Villarroel (Gran Via a Rda. Sant Antoni)
2067,0.8,Tajo,56.0,Horta,Horta-Guinardó,TRÀNSIT,False,41.429716,2.160326,228.0,Tajo (Passeig Maragall a Lisboa)
668,0.9,Sant Joan,6.0,el Fort Pienc,Eixample,TRÀNSIT,False,41.39177,2.179828,199.0,Passeig de Sant Joan (Passeig Lluís Companys a Pl. Tetuan)
9886,1.1,Santander,63.0,la Verneda i la Pau,Sant Martí,TRÀNSIT,True,41.42841,2.202673,344.0,Santander - Cantàbria (Ronda Litoral a Pont del Treball)
